"YEAR","OCN.RCR","OCN.SPN","PDO_JFM","PDO_AMJ","PDO_JAS","PDO_OND","ONI_JFM","ONI_AMJ","ONI_JAS","ONI_OND","UWI_JFM","UWI_AMJ","UWI_JAS","UWI_OND","SST_JFM","SST_AMJ","SST_JAS","SST_OND","NPGO_JFM","NPGO_AMJ","NPGO_JAS","NPGO_OND","SPT.LGR","SPT.BIO","COP.RCH","COP.NAN","COP.SAN","TMP.DP","SAL.DP","ICH.BIO","ICH.COM"
1950,NA,NA,-2.057,-1.733,-1.923,-1.527,-1.343,-1.033,-0.45,-0.613,NA,NA,NA,NA,NA,NA,NA,NA,-1.533,-0.691,-0.631,-0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,-1.5,-0.567,-0.25,-0.76,-0.51,0.373,0.86,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.487,-1.023,-1.233,-1.102,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,-1.033,-1.16,-0.913,-0.357,0.413,0.163,0.023,0.097,NA,NA,NA,NA,NA,NA,NA,NA,-1.032,-0.678,-0.939,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,-0.587,0.257,0.053,-0.35,0.543,0.727,0.753,0.83,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1.193,0.65,1.517,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,-1.15,-0.117,-0.143,0.247,0.393,-0.483,-0.793,-0.72,NA,NA,NA,NA,NA,NA,NA,NA,0.777,-0.119,-0.143,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,-0.86,-1.873,-2.183,-2.877,-0.663,-0.77,-0.84,-1.52,NA,NA,NA,NA,NA,NA,NA,NA,-0.046,0.095,0.025,-0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,-2.593,-1.76,-0.967,-1.897,-0.833,-0.523,-0.527,-0.427,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.192,0.435,-0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,-0.823,0.583,0.94,0.21,0.073,0.917,1.3,1.553,NA,NA,NA,NA,NA,NA,NA,NA,-1.523,-1.154,-0.861,-1.051,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,0.373,1.223,0.747,0.23,1.58,0.77,0.463,0.517,NA,NA,NA,NA,NA,NA,NA,NA,-0.296,-0.765,-0.568,-0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,-0.23,0.217,-0.657,0.563,0.583,0.153,-0.183,-0.007,NA,NA,NA,NA,NA,NA,NA,NA,-0.287,-0.421,-0.276,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,0.203,0.547,-0.53,0.01,-0.09,0.027,0.213,0.123,NA,NA,NA,NA,NA,NA,NA,NA,0.899,0.675,0.557,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,0.567,-0.11,-1.453,-2.273,0.037,0.197,-0.097,-0.203,NA,NA,NA,NA,NA,NA,NA,NA,1.404,1.186,0.97,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,-1.287,-1.213,-1.173,-0.96,-0.22,-0.247,-0.073,-0.32,NA,NA,NA,NA,NA,NA,NA,NA,-0.194,-0.505,-0.033,0.358,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,-0.343,-0.647,-0.527,-1.227,-0.133,0.367,1.073,1.323,NA,NA,NA,NA,NA,NA,NA,NA,-0.73,-0.652,-0.127,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,-0.357,-1.087,-0.74,-0.897,0.603,-0.497,-0.673,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,0.572,0.469,1.099,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,-0.787,-0.28,0.107,-0.297,-0.313,0.49,1.537,1.89,NA,NA,NA,NA,NA,NA,NA,NA,-0.796,-0.956,-0.664,-0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,-0.713,-0.103,-0.14,-0.88,1.173,0.417,0.103,-0.193,NA,NA,NA,NA,NA,11.436,13.004,11.075,-0.679,-1.437,-0.948,-0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,-0.527,-1.097,-0.95,-0.363,-0.473,-0.23,-0.137,-0.387,-59.197,44.545,47.872,-76.646,10.163,11.901,12.97,11.502,-0.822,-1.046,-0.66,-0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA
