Year, Mon, Day, Hour, Min
1993, 1, 1, 13, 42
1993, 1, 2, 14, 18
1993, 1, 3, 15, 0
1993, 1, 4, 16, 0
1993, 1, 5, 16, 48
1993, 1, 6, 17, 36
1993, 1, 7, 18, 30
1993, 1, 8, 19, 18
1993, 1, 9, 20, 6
1993, 1, 10, 20, 54
1993, 1, 11, 21, 54
1993, 1, 12, 11, 0
1993, 1, 13, 11, 42
1993, 1, 14, 12, 30
1993, 1, 15, 13, 18
1993, 1, 16, 14, 0
1993, 1, 17, 15, 12
1993, 1, 18, 16, 12
1993, 1, 19, 17, 24
1993, 1, 20, 17, 54
1993, 1, 21, 18, 42
1993, 1, 22, 19, 24
1993, 1, 23, 20, 0
1993, 1, 24, 20, 42
1993, 1, 25, 21, 12
1993, 1, 27, 10, 54
1993, 1, 28, 11, 18
1993, 1, 29, 11, 48
1993, 1, 30, 12, 30
1993, 1, 31, 13, 0
1993, 2, 1, 14, 6
1993, 2, 2, 15, 12
1993, 2, 3, 16, 18
1993, 2, 4, 17, 24
1993, 2, 5, 18, 18
1993, 2, 6, 19, 6
1993, 2, 7, 20, 0
1993, 2, 8, 20, 48
1993, 2, 9, 9, 42
1993, 2, 10, 10, 18
1993, 2, 11, 11, 0
1993, 2, 12, 11, 48
1993, 2, 13, 12, 36
1993, 2, 14, 13, 36
1993, 2, 15, 14, 54
1993, 2, 16, 15, 48
1993, 2, 17, 16, 54
1993, 2, 18, 17, 48
1993, 2, 19, 18, 36
1993, 2, 20, 19, 18
1993, 2, 21, 19, 48
1993, 2, 23, 9, 6
1993, 2, 24, 9, 36
1993, 2, 25, 9, 54
1993, 2, 26, 10, 24
1993, 2, 27, 11, 0
1993, 2, 28, 11, 36
1993, 3, 1, 12, 24
1993, 3, 2, 13, 30
1993, 3, 3, 14, 36
1993, 3, 4, 15, 54
1993, 3, 5, 17, 0
1993, 3, 6, 18, 0
1993, 3, 7, 19, 0
1993, 3, 8, 19, 54
1993, 3, 9, 8, 24
1993, 3, 10, 9, 0
1993, 3, 11, 9, 42
1993, 3, 12, 10, 24
1993, 3, 13, 11, 12
1993, 3, 14, 12, 0
1993, 3, 15, 13, 6
1993, 3, 16, 14, 18
1993, 3, 17, 15, 30
1993, 3, 18, 16, 36
1993, 3, 19, 17, 42
1993, 3, 20, 18, 18
1993, 3, 22, 7, 36
1993, 3, 23, 7, 54
1993, 3, 24, 8, 18
1993, 3, 25, 8, 42
1993, 3, 26, 9, 18
1993, 3, 27, 9, 42
1993, 3, 28, 10, 18
1993, 3, 29, 11, 0
1993, 3, 30, 11, 48
1993, 3, 31, 12, 48
1993, 4, 1, 14, 18
1993, 4, 2, 15, 42
1993, 4, 3, 16, 54
1993, 4, 4, 17, 54
1993, 4, 5, 6, 24
1993, 4, 6, 7, 6
1993, 4, 7, 7, 48
1993, 4, 8, 8, 30
1993, 4, 9, 9, 6
1993, 4, 10, 9, 54
1993, 4, 11, 10, 36
1993, 4, 12, 11, 24
1993, 4, 13, 12, 36
1993, 4, 15, 3, 42
1993, 4, 16, 4, 30
1993, 4, 17, 5, 12
1993, 4, 18, 5, 36
1993, 4, 19, 6, 18
1993, 4, 20, 6, 36
1993, 4, 21, 7, 12
1993, 4, 22, 7, 36
1993, 4, 23, 8, 6
1993, 4, 24, 8, 36
1993, 4, 25, 9, 12
1993, 4, 26, 9, 48
1993, 4, 27, 10, 42
1993, 4, 28, 11, 36
1993, 4, 29, 12, 48
1993, 4, 30, 2, 36
1993, 5, 1, 3, 30
1993, 5, 2, 4, 24
1993, 5, 3, 5, 12
1993, 5, 4, 5, 42
1993, 5, 5, 6, 30
1993, 5, 6, 7, 6
1993, 5, 7, 7, 54
1993, 5, 8, 8, 36
1993, 5, 9, 9, 30
1993, 5, 10, 10, 18
1993, 5, 11, 11, 0
1993, 5, 12, 11, 54
1993, 5, 14, 2, 42
1993, 5, 15, 3, 36
1993, 5, 16, 4, 6
1993, 5, 17, 4, 42
1993, 5, 18, 5, 24
1993, 5, 19, 5, 48
1993, 5, 20, 6, 24
1993, 5, 21, 6, 54
1993, 5, 22, 7, 30
1993, 5, 23, 8, 24
1993, 5, 24, 8, 54
1993, 5, 25, 9, 42
1993, 5, 26, 10, 24
1993, 5, 27, 11, 30
1993, 5, 28, 1, 0
1993, 5, 29, 2, 0
1993, 5, 30, 2, 48
1993, 5, 31, 3, 36
1993, 6, 1, 4, 30
1993, 6, 2, 5, 12
1993, 6, 3, 6, 0
1993, 6, 4, 6, 54
1993, 6, 5, 7, 42
1993, 6, 6, 8, 24
1993, 6, 7, 9, 6
1993, 6, 8, 9, 48
1993, 6, 9, 10, 36
1993, 6, 11, 0, 54
1993, 6, 12, 1, 36
1993, 6, 13, 2, 30
1993, 6, 14, 3, 0
1993, 6, 15, 3, 48
1993, 6, 16, 4, 30
1993, 6, 17, 5, 12
1993, 6, 18, 5, 48
1993, 6, 19, 6, 30
1993, 6, 20, 7, 12
1993, 6, 21, 7, 54
1993, 6, 22, 8, 42
1993, 6, 23, 9, 36
1993, 6, 24, 10, 24
1993, 6, 24, 23, 48
1993, 6, 26, 0, 36
1993, 6, 27, 1, 24
1993, 6, 28, 2, 6
1993, 6, 29, 3, 6
1993, 6, 30, 4, 12
1993, 7, 1, 5, 0
1993, 7, 2, 5, 54
1993, 7, 3, 6, 36
1993, 7, 4, 7, 24
1993, 7, 5, 8, 12
1993, 7, 6, 8, 48
1993, 7, 7, 9, 36
1993, 7, 8, 23, 18
1993, 7, 10, 0, 0
1993, 7, 11, 0, 36
1993, 7, 12, 1, 12
1993, 7, 13, 2, 0
1993, 7, 14, 2, 42
1993, 7, 15, 3, 42
1993, 7, 16, 4, 36
1993, 7, 17, 5, 18
1993, 7, 18, 6, 6
1993, 7, 19, 6, 54
1993, 7, 20, 7, 54
1993, 7, 21, 8, 36
1993, 7, 22, 9, 24
1993, 7, 22, 22, 30
1993, 7, 23, 23, 12
1993, 7, 24, 23, 54
1993, 7, 26, 0, 42
1993, 7, 27, 1, 36
1993, 7, 28, 2, 36
1993, 7, 29, 3, 12
1993, 7, 30, 4, 48
1993, 7, 31, 5, 36
1993, 8, 1, 6, 36
1993, 8, 2, 7, 12
1993, 8, 3, 7, 48
1993, 8, 4, 8, 36
1993, 8, 5, 9, 12
1993, 8, 6, 22, 30
1993, 8, 7, 23, 0
1993, 8, 8, 23, 30
1993, 8, 10, 0, 12
1993, 8, 11, 1, 0
1993, 8, 12, 1, 48
1993, 8, 13, 3, 0
1993, 8, 14, 4, 0
1993, 8, 15, 5, 0
1993, 8, 16, 6, 0
1993, 8, 17, 6, 42
1993, 8, 18, 7, 36
1993, 8, 19, 8, 30
1993, 8, 19, 21, 18
1993, 8, 20, 21, 54
1993, 8, 21, 22, 30
1993, 8, 22, 23, 18
1993, 8, 24, 0, 12
1993, 8, 25, 1, 6
1993, 8, 26, 2, 18
1993, 8, 27, 3, 30
1993, 8, 28, 4, 30
1993, 8, 29, 5, 30
1993, 8, 30, 6, 18
1993, 8, 31, 7, 0
1993, 9, 1, 7, 42
1993, 9, 2, 20, 48
1993, 9, 3, 21, 12
1993, 9, 4, 21, 48
1993, 9, 5, 22, 12
1993, 9, 6, 22, 48
1993, 9, 7, 23, 18
1993, 9, 9, 0, 12
1993, 9, 10, 1, 6
1993, 9, 11, 2, 18
1993, 9, 12, 3, 36
1993, 9, 13, 4, 48
1993, 9, 14, 5, 36
1993, 9, 15, 6, 36
1993, 9, 16, 7, 36
1993, 9, 16, 19, 54
1993, 9, 17, 20, 36
1993, 9, 18, 21, 18
1993, 9, 19, 22, 0
1993, 9, 20, 22, 48
1993, 9, 21, 23, 36
1993, 9, 23, 0, 42
1993, 9, 24, 1, 54
1993, 9, 25, 3, 12
1993, 9, 26, 4, 18
1993, 9, 27, 5, 18
1993, 9, 28, 18, 42
1993, 9, 29, 19, 12
1993, 9, 30, 19, 36
1993, 10, 1, 20, 0
1993, 10, 2, 20, 30
1993, 10, 3, 20, 54
1993, 10, 4, 21, 24
1993, 10, 5, 21, 54
1993, 10, 6, 22, 36
1993, 10, 7, 23, 24
1993, 10, 9, 0, 36
1993, 10, 10, 1, 54
1993, 10, 11, 3, 12
1993, 10, 12, 4, 24
1993, 10, 12, 17, 18
1993, 10, 13, 18, 0
1993, 10, 14, 18, 36
1993, 10, 15, 19, 24
1993, 10, 16, 20, 0
1993, 10, 17, 20, 42
1993, 10, 18, 21, 24
1993, 10, 19, 22, 18
1993, 10, 20, 23, 12
1993, 10, 22, 0, 6
1993, 10, 23, 15, 12
1993, 10, 24, 16, 6
1993, 10, 25, 16, 48
1993, 10, 26, 17, 24
1993, 10, 27, 18, 6
1993, 10, 28, 18, 24
1993, 10, 29, 18, 54
1993, 10, 30, 19, 18
1993, 10, 31, 19, 48
1993, 11, 1, 20, 30
1993, 11, 2, 20, 54
1993, 11, 3, 21, 36
1993, 11, 4, 22, 12
1993, 11, 5, 23, 12
1993, 11, 7, 0, 18
1993, 11, 7, 14, 6
1993, 11, 8, 15, 6
1993, 11, 9, 15, 48
1993, 11, 10, 16, 30
1993, 11, 11, 17, 18
1993, 11, 12, 18, 6
1993, 11, 13, 18, 48
1993, 11, 14, 19, 36
1993, 11, 15, 20, 24
1993, 11, 16, 21, 6
1993, 11, 17, 21, 48
1993, 11, 18, 22, 42
1993, 11, 20, 13, 18
1993, 11, 21, 14, 18
1993, 11, 22, 15, 6
1993, 11, 23, 15, 48
1993, 11, 24, 16, 24
1993, 11, 25, 17, 6
1993, 11, 26, 17, 36
1993, 11, 27, 18, 12
1993, 11, 28, 18, 42
1993, 11, 29, 19, 12
1993, 11, 30, 19, 54
1993, 12, 1, 20, 24
1993, 12, 2, 21, 12
1993, 12, 3, 22, 18
1993, 12, 4, 11, 48
1993, 12, 5, 12, 36
1993, 12, 6, 13, 24
1993, 12, 7, 14, 18
1993, 12, 8, 15, 6
1993, 12, 9, 16, 0
1993, 12, 10, 16, 36
1993, 12, 11, 17, 48
1993, 12, 12, 18, 24
1993, 12, 13, 19, 12
1993, 12, 14, 20, 0
1993, 12, 15, 20, 42
1993, 12, 16, 21, 30
1993, 12, 17, 22, 12
1993, 12, 19, 12, 30
1993, 12, 20, 13, 12
1993, 12, 21, 13, 54
1993, 12, 22, 14, 42
1993, 12, 23, 15, 30
1993, 12, 24, 16, 18
1993, 12, 25, 17, 0
1993, 12, 26, 17, 36
1993, 12, 27, 18, 18
1993, 12, 28, 18, 54
1993, 12, 29, 19, 42
1993, 12, 30, 20, 18
1993, 12, 31, 21, 6
1994, 1, 1, 21, 48
1994, 1, 2, 11, 18
1994, 1, 3, 12, 0
1994, 1, 4, 12, 42
1994, 1, 5, 13, 30
1994, 1, 6, 14, 24
1994, 1, 7, 15, 24
1994, 1, 8, 16, 24
1994, 1, 9, 17, 24
1994, 1, 10, 18, 24
1994, 1, 11, 19, 6
1994, 1, 12, 19, 48
1994, 1, 13, 20, 42
1994, 1, 14, 21, 12
1994, 1, 15, 21, 54
1994, 1, 17, 11, 30
1994, 1, 18, 12, 18
1994, 1, 19, 12, 48
1994, 1, 20, 13, 36
1994, 1, 21, 14, 30
1994, 1, 22, 15, 30
1994, 1, 23, 16, 18
1994, 1, 24, 17, 6
1994, 1, 25, 17, 54
1994, 1, 26, 18, 48
1994, 1, 27, 19, 30
1994, 1, 28, 20, 18
1994, 1, 29, 21, 6
1994, 1, 30, 10, 0
1994, 1, 31, 10, 42
1994, 2, 1, 11, 24
1994, 2, 2, 12, 12
1994, 2, 3, 13, 0
1994, 2, 4, 14, 6
1994, 2, 5, 15, 6
1994, 2, 6, 16, 18
1994, 2, 7, 17, 12
1994, 2, 8, 18, 12
1994, 2, 9, 18, 54
1994, 2, 10, 19, 36
1994, 2, 11, 20, 24
1994, 2, 13, 9, 48
1994, 2, 14, 10, 18
1994, 2, 15, 10, 42
1994, 2, 16, 11, 18
1994, 2, 17, 11, 54
1994, 2, 18, 12, 30
1994, 2, 19, 13, 24
1994, 2, 20, 14, 36
1994, 2, 21, 15, 30
1994, 2, 22, 16, 42
1994, 2, 23, 17, 36
1994, 2, 24, 18, 30
1994, 2, 25, 19, 18
1994, 2, 26, 20, 12
1994, 2, 27, 8, 54
1994, 2, 28, 9, 24
