"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1950,-2.1883951,-1.4458314,-0.96503568,-0.85878799,-0.63408219,-0.58098428,-0.74211428,-0.54938418,-0.60154498,0.11943427,-0.25707438,-0.49336649
1951,-0.47853012,-0.41382623,-0.56954018,-0.56114016,-1.0714146,-1.4352384,-1.1039251,-1.1748547,-1.4195152,-1.0693902,-1.0120413,-1.2247459
1952,-1.3350548,-1.0909977,-0.66951595,-0.43371917,-0.62650865,-0.97265631,-1.3356465,-0.89742819,-0.58261822,-0.25781197,-0.31621332,0.84508038
1953,0.94395233,0.74797162,1.2173325,1.2502004,1.2707073,1.056728,1.0407542,0.6189014,0.29073101,1.0815173,2.0496203,1.418955
1954,1.0939573,1.156514,0.07937343,-0.37253308,-0.16404023,0.17838068,-0.035203404,-0.13153747,-0.26280328,0.18381241,0.35474005,0.40412547
1955,0.32620733,-0.24927549,-0.2159785,0.0407132,0.26141044,-0.015894133,-0.088022544,0.2745267,-0.11022702,-0.52419361,-0.080028769,-0.5180143
1956,0.1202669,-0.13795981,0.022979146,-0.038234934,0.14195733,0.47106723,0.4639145,0.53975909,0.30064613,-0.051508982,-0.22625107,-0.76721175
1957,-1.2715967,-1.9587271,-1.3393664,-1.2553542,-1.0382093,-1.1681711,-0.75587754,-0.90544124,-0.9222347,-1.0286289,-1.407435,-0.71664127
1958,0.11660279,0.14663043,-1.1516998,-0.71935478,-0.85098363,-0.72342443,-0.86964646,-0.6288164,-0.20443409,-0.50880797,-0.77451839,-0.40523129
1959,0.12278854,-0.59064476,-0.39206877,-0.45130383,-0.43784908,-0.37320207,-0.39649446,-0.50436494,0.072659201,0.13413238,-0.04796909,0.42278478
1960,1.0163805,0.81857807,0.86326859,0.79348216,0.91892054,0.31314454,0.70915221,0.43794466,0.52397594,0.48853548,0.95336825,1.1361285
1961,1.1032184,1.3593808,1.7493986,0.95715692,1.4002097,1.2018429,1.0626986,1.0746483,0.77296683,0.34873726,0.22058507,0.39737078
1962,0.17476225,-0.14977739,-0.60767641,-0.47141795,-0.73901362,-0.30441143,-0.062123467,-0.37063506,0.33421582,0.16424001,0.44560527,0.46514247
1963,-0.81285016,-0.27996258,-1.0965502,-0.81056845,-0.42822716,-0.71623806,-0.36669314,-0.1346054,0.11978808,0.50714133,0.66107473,0.54103299
1964,1.0728952,0.29248032,0.35166979,0.25015275,0.27190132,0.88409534,1.6039742,0.78188421,0.91256373,0.71267229,0.074383372,-0.67944342
1965,-0.60927069,-0.8375497,-0.9425717,-0.87943354,-1.1591951,-0.83030121,-0.69218264,-0.44396173,-0.85712342,-0.68304581,-0.91841417,-1.1935027
1966,-0.32304436,-1.114448,-0.59910173,-1.3692633,-1.678718,-1.2637274,-1.1138805,-0.97791948,-0.75325036,-0.79952865,-0.93839698,-0.54499555
1967,-0.73605125,-0.61006085,-1.1191961,-0.89138072,-0.99509831,-1.252485,-1.1731513,-0.75379956,-0.051677917,0.0071177736,-0.58751481,-0.23339957
1968,-0.76610972,-0.6258595,-0.63205407,-1.1582636,-1.2594507,-1.0381912,-1.0214287,-0.95952812,-0.91457811,-0.73758116,-0.22530564,-0.86887064
1969,-2.5593478,-0.7369928,-0.7334626,-0.1832465,-0.090880893,-0.77551688,-0.73089032,-0.23232563,0.015210575,0.28993968,-0.04127024,1.1272413
1970,-0.19163922,-0.32133677,-0.41263578,-0.22177049,0.48417772,0.37084586,0.27240294,0.41332336,0.39857819,0.22630739,-0.21421458,-0.071520774
1971,-0.20162668,0.059600681,0.45392927,0.85376876,0.49495693,0.41262019,0.79092532,0.70605099,0.52842538,0.3306484,0.18247128,-0.027959273
1972,-0.5305133,-0.40844138,-0.69411044,-0.68113067,-0.74738833,-0.7609987,-0.32239863,-0.42736154,-0.92539715,-1.0954562,-0.55620606,-0.76224231
1973,-0.048363215,-0.50339577,-0.072347531,-0.050589071,0.25466121,0.51442802,0.32357245,0.16718172,0.3572996,0.35027916,-0.11299269,0.33929289
1974,-1.0033867,-0.38642797,-0.026205274,0.014818799,-0.16634801,0.21918141,0.37670197,0.26162988,-0.16775789,0.0074986156,0.04270522,0.71586735
1975,0.63875186,0.98490837,0.7158461,0.64921899,0.71586507,0.45778814,0.51100819,1.0259992,0.57322177,0.95649585,1.273857,1.0790459
1976,1.0782443,1.1829994,1.6799048,2.4363156,2.1807639,2.0671275,2.2670345,2.4363637,2.4321414,1.6933671,1.5746724,1.3296016
1977,1.3217052,1.9341241,1.699481,1.396454,1.0719304,0.92382978,1.0368123,1.2847436,0.76644075,1.2530538,1.4486669,0.85400226
1978,1.2148573,1.2447465,0.61619694,0.45326294,0.5867699,0.38409043,0.42586012,0.86398498,1.2864755,0.35159373,-0.25888401,-1.1153547
1979,-0.51478626,-0.23329146,-0.62883688,-1.034361,-0.78180605,-0.82272109,-1.1482481,-1.2509887,-0.78481409,-0.6129027,-0.49207198,-0.54143459
1980,-1.9028722,-1.7223209,-1.1510684,-0.065782108,-0.21080144,-0.68274075,-0.9904321,-1.0831368,-0.69690748,-0.066023382,-0.13450486,-0.28269689
1981,-0.26440728,-1.0577437,-0.69053925,-0.62670428,0.19965579,0.0088193234,-0.52605658,-0.69772961,0.0029768997,-0.28779399,0.75622012,0.52121581
1982,-0.19996038,-0.87346295,-0.62067405,-1.0710987,-0.99310639,-0.8476034,-0.61058107,-0.45697363,-0.45956735,-1.0067379,-0.86607015,-0.2344606
1983,0.60465531,0.47395959,0.43032064,-0.72051521,-0.74396599,-0.076887309,-0.04863779,-0.010007802,-0.40973575,-0.48714715,0.56100833,-0.6778232
1984,-0.21510063,0.40077926,0.71907062,1.1599523,0.98165596,0.73748025,0.4158185,0.36820697,0.82303277,0.94333701,0.86247744,0.25228999
1985,0.32392518,-0.064661941,0.23143699,0.31925946,0.15633692,-0.044718164,0.17832952,-0.23258976,-0.93626777,-1.1832549,-1.793918,-1.6806901
1986,-0.7685944,-1.4491836,-0.46623733,-0.96677631,-0.49841159,-0.66585381,-0.94142243,-1.0182601,-0.768198,-0.2937993,-0.50124606,-0.45618453
1987,0.68659838,0.7675583,0.28541378,0.47076848,0.27433927,0.39440557,0.42619958,0.3395003,0.17022806,0.12124511,0.52151727,0.69232265
1988,1.105185,0.79684971,0.96814878,1.5734973,1.7784138,1.7426903,1.7248738,1.3928516,1.31624,1.4868884,1.2427056,0.75529687
1989,1.3125811,0.66174412,0.92933697,0.78376127,0.58351058,0.5221062,1.2640097,0.66697628,0.65426137,0.44178705,-0.30061121,-0.17257603
1990,0.2687734,-0.28017566,0.65271548,0.24156556,-0.096055435,-0.065433778,-0.25829866,-0.33040579,-0.15925639,-0.12022116,-0.73895202,-1.532809
1991,-0.74421842,-0.30453129,-0.80698494,-0.20643753,-0.059529254,-0.38776968,-0.4794923,-0.57405316,-0.94857557,-1.0900901,-0.17231725,-0.21297704
1992,0.49307736,-0.45653143,-0.82080177,-1.4336134,-1.7956172,-1.3506516,-1.4624325,-1.2474734,-0.94662956,-0.96898904,-1.2806748,-1.8686891
1993,-2.8169835,-2.1408178,-1.7419109,-0.75883626,-1.0894275,-1.6821039,-1.6785552,-1.5143229,-2.0474347,-2.3542966,-2.9986692,-2.0005526
1994,-1.8540143,-1.9786652,-1.8557886,-1.4470739,-0.30135894,-0.61160343,-0.71112965,-0.85876787,-1.1048639,-1.1107256,-1.6884391,-1.0167549
1995,-0.49903343,-1.5608722,-2.0546501,-1.8249588,-1.5042438,-1.0479894,-1.4994407,-1.0060149,-0.89392105,-0.51771379,-0.2774263,0.21576192
1996,-0.63897712,-1.0529048,-1.1487637,-0.43611656,-1.2747659,-1.0600342,-0.88413569,-0.74825013,-0.93392844,-1.0410775,-1.1001672,-1.3549181
1997,-1.6402249,-1.1130951,-0.61802828,-0.5061382,-0.87719416,-0.93839334,-0.77236159,-0.7858272,-0.48147621,-0.59425899,0.17402893,0.26068165
1998,0.52791423,1.9000587,0.89331784,0.52151313,0.27758158,0.11902247,0.39316174,0.27265688,0.044480388,0.098751134,0.71735091,0.76883039
1999,1.0828257,2.3041594,1.9742975,1.6464381,1.6045933,1.9053233,1.3811213,1.4334654,1.3049656,1.1788208,1.3205504,1.0528054
2000,1.4045384,2.1235311,2.1492677,2.3652705,2.220292,2.1020662,1.655785,1.3516272,1.3801795,1.6981881,2.0145948,2.164995
2001,2.8619328,2.9560468,2.388775,2.2039413,1.9538953,2.349303,1.5004872,1.9150242,1.8929954,1.1619115,1.7645249,2.0194831
2002,1.8641573,2.1773568,1.8982763,0.89742216,1.102573,1.6053913,1.3822965,0.81184355,0.82441109,0.82363712,1.6592152,2.6365472
2003,1.9691832,0.99256558,1.4907114,1.1017217,0.9192588,0.77769152,1.2024408,0.78228794,0.8692253,1.286991,-0.11436786,0.22437689
2004,0.26501486,0.66722957,0.38293237,0.12524921,0.20735337,0.77647507,0.41156805,0.68538324,0.37640228,0.042904182,-0.44177726,-0.98521195
2005,-1.6584776,-1.4945695,-1.4867298,-1.6860675,-0.79030764,-1.2837522,-1.6639054,-1.1305807,-1.5729473,-0.88931138,-1.6610364,-1.2528956
2006,-0.64650351,-1.0694165,-0.7099621,-0.56621325,-0.12235165,-0.12757395,-0.49922835,-0.36677579,-0.33968976,-1.0489801,-0.99574656,-0.15538991
2007,-0.41172238,-0.13660997,-0.54892532,0.26061867,0.69138409,1.2324307,1.2289858,1.4399075,0.90926807,1.2687833,0.72844103,0.45784404
2008,0.55573087,1.1359497,1.3746045,1.3959782,1.7382507,1.2788394,1.427494,2.1435881,2.2272399,1.7658829,1.9697901,0.44929096
2009,0.72257515,0.90930183,0.33125932,0.41628769,0.5548924,0.37008103,0.56042698,0.71791109,0.98406077,1.1538724,1.0545827,1.0631178
2010,2.0628159,1.838936,1.6534425,1.1785061,1.8660371,1.2382194,1.14574,1.0785591,1.00388,1.6057858,0.98776139,0.77934359
2011,0.3217816,0.55032479,1.2027031,0.59607204,1.3946886,1.113308,1.0352043,1.0362983,1.3279155,1.2043564,0.37422316,0.13205331
2012,0.83366605,0.86268306,1.116866,1.9261199,1.6273782,1.9381592,1.8603463,1.7304645,1.3583578,1.8664157,1.4016486,1.2000311
2013,1.2306213,1.2039313,0.64256867,0.47624482,0.8523294,0.72658155,0.45131078,0.56165662,0.38973394,-0.14729041,-0.804566,-1.4515896
2014,-0.38970668,-0.26691275,-0.45373875,-0.61755996,0.22740888,-0.41663029,-0.13370798,-0.54526098,-0.77709383,0.42413824,0.3108105,-0.35602384
2015,-0.55092803,-1.2735983,-1.3956342,-1.3788626,-0.72003739,-1.2495428,-1.4741171,-1.9279137,-2.1044993,-1.3069408,-2.2538349,-1.1060514
2016,0.93764621,0.22869466,0.4720812,-0.40044831,-0.68217618,-0.95813124,-0.48700548,-0.54382823,-0.77354562,0.35201682,1.159299,-1.5408496
2017,-0.26678521,-0.67098524,-0.89466902,-0.11361968,-0.5071737,-0.2239184,-0.14672896,-0.27865457,-0.5009289,-1.4277744,-2.1840963,-2.7983775
2018,-1.7256228,-2.1528159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
