"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6600591715976,10.3324287652646
1992,9.94174624829468,10.7671641791045,11.5492496589359,11.9265734265734,12.9408660351827,13.5875,13.8234100135318,13.3282051282051,12.048079658606,12.3343324250681,12.278045325779,10.8537087912088
1997,9.77878787878788,NA,NA,NA,NA,NA,NA,16.65,17.7491620111732,14.7696378830084,13.1922514619883,12.915521978022
1998,12.389972899729,NA,NA,12.7565217391304,12.5794979079498,13.4015873015873,15.0515561569689,13.9061776061776,13.3407407407407,13.0944818304172,12.6251748251748,10.8123641304348
1999,9.5645945945946,9.28224582701062,9.35830115830116,NA,NA,NA,NA,NA,NA,10.7266009852217,11.1045588235294,10.5049865229111
2000,9.64979367262723,9.95326560232221,9.88288043478261,10.603328290469,12.3153305203938,12.1916317991632,12.7521088435374,12.7246630727763,12.7875,11.5053278688525,10.7485314685315,10.1477088948787
2001,9.96864064602961,9.55663189269747,9.55236806495264,9.90782122905028,11.1413189771198,13.4991631799163,12.0623149394347,13.689972899729,12.4165266106443,11.6005449591281,11.2197755960729,NA
2002,9.615625,9.52056631892697,9.26895161290323,9.73710601719198,11.3012278308322,13.7587743732591,12.8718918918919,11.5690026954178,12.0142061281337,10.5259259259259,11.0156643356643,12.0238544474394
2003,11.1136118598383,10.6232835820896,10.54669365722,10.8281337047354,12.6689516129032,13.3140472878999,13.8540540540541,13.1154054054054,11.6349228611501,13.156796769852,11.7307371349096,11.1412955465587
2004,10.4597577388964,10.2096541786744,10.4557200538358,11.1023676880223,13.9955465587045,14.9474930362117,14.6489851150203,14.2133064516129,15.1198611111111,13.0856182795699,11.4603905160391,10.4287356321839
2005,NA,NA,NA,11.5205729166667,13.5083333333333,15.4037552155772,14.3947580645161,12.419623655914,12.095,12.700269541779,11.7556328233658,10.7365721997301
2006,11.4545698924731,10.3971726190476,10.1902834008097,11.0710084033613,11.9188933873144,13.9397774687065,12.722371967655,11.8807757166948,13.3868068833652,11.1062078272605,11.5088888888889,11.1508064516129
2007,9.69744279946164,9.56059701492537,10.0424694708277,10.5095104895105,11.4117567567568,14.0554469273743,16.1766216216216,14.6402422611036,13.0878491620112,12.2121293800539,11.1359440559441,10.0763636363636
2008,NA,NA,8.99130434782609,9.33272980501393,11.5297442799462,12.2833333333333,11.407972972973,14.7070175438596,11.9984679665738,12.9409459459459,12.3318881118881,10.6579529737206
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5
2012,9.17734056987788,9.16738505747126,8.74357239512855,10.0122562674095,11.3982384823848,14.2806944444444,15.2920698924731,12.9652759084791,12.3777777777778,11.5540983606557,12.1666199158485,11.3437669376694
2013,9.89689189189189,9.309375,9.16644204851752,10.1964936886396,11.7357624831309,14.1805865921788,11.7522849462366,13.131713900135,16.0397759103641,14.2494623655914,11.6052851182197,9.5364247311828
2014,8.88411843876178,9.21502976190476,10.2805929919137,10.9093055555556,13.4190860215054,13.5365277777778,12.8354838709677,11.7462365591398,15.6351388888889,15.8467741935484,13.7840277777778,13.2753036437247
2015,12.3770161290323,12.2721726190476,11.2649045521292,10.6825622775801,12.6819918144611,12.5384507042254,15.1005457025921,14.6172839506173,15.3210451977401,14.603825136612,13.3111576011158,12.1344549125168
2016,11.4111859838275,11.4169784172662,11.5558546433378,12.5905292479109,13.3027359781122,14.2520863309353,15.1308965517241,12.6228260869565,14.0865546218487,13.6726158038147,14.0346423562412,12.2738544474394
2017,10.3598923283984,10.4613095238095,10.3924426450742,10.7585535465925,12.2351540616246,14.2821478382148,13.4734570998495,12.1221420518602,13.3828910614525,13.2828603603604,11.8690553745928,11.1834423640875
2018,10.9493905191874,10.1357997010463,9.89341155234657,10.5620922646785,12.7300835025954,15.0222454672245,NA,NA,NA,NA,NA,NA
