"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1967,-105.290322580645,-25.1071428571429,-47.1935483870968,5.4,55.9677419354839,72.2666666666667,74.0645161290323,54.4516129032258,15.1,-76.8064516129032,-45.0666666666667,-108.064516129032
1968,-158.193548387097,-127.931034482759,-61.2258064516129,42.6333333333333,36.0645161290323,52,69.1290322580645,27.7741935483871,25.7333333333333,-54.8064516129032,-121.966666666667,-140.709677419355
1969,-51.9677419354839,-110.642857142857,-16.4193548387097,-29.3666666666667,18.741935483871,40.0333333333333,63.3548387096774,36.7741935483871,3.96666666666667,-34.1290322580645,-71.8666666666667,-152.741935483871
1970,-103.225806451613,-63.6071428571429,-3.74193548387097,18.4,38.4193548387097,42.3333333333333,54.2903225806452,49.4193548387097,20.5333333333333,-43.0322580645161,-72.9333333333333,-110.967741935484
1971,-57.4838709677419,-15.0357142857143,-76.9354838709677,-5.06666666666667,52.1612903225806,11.5666666666667,46.5161290322581,19.258064516129,21.1,-3.74193548387097,-65.5,-35.1290322580645
1972,-27.9677419354839,-92.7241379310345,-43.0967741935484,-8.7,30.4516129032258,45.6,43.5806451612903,42.258064516129,15.5333333333333,30.4838709677419,-70.4666666666667,-99.8387096774194
1973,-124.129032258065,-44.6785714285714,-2.67741935483871,37.7,28.741935483871,31.2333333333333,55.9032258064516,60.4838709677419,7.06666666666667,-9.90322580645161,-55.6666666666667,-117.387096774194
1974,-85.6774193548387,-61.5357142857143,-63.4193548387097,-4.86666666666667,24.6451612903226,67.1666666666667,30.8064516129032,50.6451612903226,18.1333333333333,11.2903225806452,-55.8,-66.3548387096774
1975,-44.1612903225806,-79.0357142857143,-9.7741935483871,28.7666666666667,22.8709677419355,65.1666666666667,46.2903225806452,33.258064516129,35.8333333333333,-65.5483870967742,-87.2666666666667,-65.8387096774194
1976,-58.9677419354839,-42.1379310344828,-22.7096774193548,-3.56666666666667,24.3870967741935,38.3333333333333,32,16.9677419354839,18.9,-10.2903225806452,-32.4333333333333,-57.3225806451613
1977,-40.0645161290323,-97.6071428571429,1.70967741935484,2.8,6.16129032258065,60.3,47.2258064516129,30.0645161290323,13.1666666666667,-34.4838709677419,-83,-116.096774193548
1978,-122.645161290323,-98.0714285714286,-20.0967741935484,-3.73333333333333,35.5806451612903,27.7,55.3870967741936,12.0322580645161,-16.7666666666667,11.0645161290323,-11.0666666666667,-24.741935483871
1979,-80.258064516129,-105.785714285714,-9.96774193548387,3.7,32.6774193548387,53.3,39,29.7741935483871,3.3,-48.9677419354839,-130.533333333333,-162.838709677419
1980,-53.8709677419355,-125.034482758621,-2.09677419354839,-23.4666666666667,42.9677419354839,34.9333333333333,68.8709677419355,60.5483870967742,14.8333333333333,-45,-98,-105.483870967742
1981,-187.677419354839,-82.3214285714286,-30.3548387096774,-1.33333333333333,15.3225806451613,14.3333333333333,64.6774193548387,30.0967741935484,-8.36666666666667,-41.5806451612903,-112.366666666667,-120.806451612903
1982,-49,-94.0357142857143,-14.8387096774194,-13.7333333333333,61,45.5,40.0645161290323,30.3548387096774,16.1333333333333,-71.0645161290323,-73.9666666666667,-133.322580645161
