Bakun Index Values from NOAA/NMFS/PFEG for: 45N 125W
Values are daily average of wind-driven crossshore transports computed from
FNMOC six-hourly surface pressure analyses.  Indices are in units of cubic
meters per second along each 100 meters of coastline.  -9999 indicates missing
value.  Positive numbers indicate offshore transport.  Day is based on PST.
YYYYMMDD Index
19670101    30
19670102  -111
19670103   -46
19670104    28
19670105     0
19670106    -9
19670107   -99
19670108   -77
19670109  -220
19670110  -132
19670111   -17
19670112  -140
19670113   -17
19670114   -48
19670115     1
19670116    30
19670117     1
19670118  -184
19670119  -576
19670120  -173
19670121   -48
19670122  -180
19670123  -117
19670124   -68
19670125  -117
19670126  -259
19670127  -388
19670128  -157
19670129   -69
19670130    -3
19670131   -99
19670201   -74
19670202   -54
19670203   -59
19670204    -1
19670205    14
19670206    33
19670207    -2
19670208    -3
19670209     4
19670210    14
19670211    -1
19670212   -50
19670213    40
19670214   -48
19670215    -4
19670216   -17
19670217     6
19670218    73
19670219     6
19670220   -27
19670221     0
19670222     0
19670223  -142
19670224   -48
19670225    -5
19670226  -168
19670227  -168
19670228   -22
19670301    18
19670302    56
19670303    72
19670304    35
19670305    39
19670306    91
19670307    77
19670308    80
19670309     2
19670310     4
19670311   -36
19670312   -34
19670313   -51
19670314  -415
19670315  -317
19670316  -232
19670317  -106
19670318   -13
19670319  -145
19670320   -40
19670321  -125
19670322  -417
19670323  -101
19670324   -25
19670325     3
19670326     4
19670327   -32
19670328    89
19670329    -6
19670330    13
19670331    49
19670401    28
19670402    17
19670403    26
19670404     1
19670405    -3
19670406    15
19670407    55
19670408     6
19670409    -8
19670410    23
19670411    77
19670412   -11
19670413   -16
19670414   -41
19670415    -7
19670416   -73
19670417    11
19670418     5
19670419    -1
19670420     4
19670421    23
19670422     5
19670423    21
19670424    25
19670425   -24
19670426   -13
19670427    -7
19670428     2
19670429     6
19670430    16
19670501    49
19670502   163
19670503   149
19670504   104
19670505    77
19670506    24
19670507    23
19670508    93
19670509   111
19670510     8
19670511     7
19670512    29
19670513    15
19670514    15
19670515    33
19670516    32
19670517    48
19670518    43
19670519    16
19670520    18
19670521    95
19670522   131
19670523   126
19670524    85
19670525    59
19670526     5
19670527    -9
19670528     5
19670529    13
19670530    59
19670531   109
19670601    62
19670602    -5
19670603    12
19670604    29
19670605    47
19670606    64
19670607    97
19670608   171
19670609   134
19670610    80
19670611    39
19670612    51
19670613    61
19670614    41
