Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1993, NA, NA, NA, NA, NA, NA, NA, NA, 10.0166666666667, 11.3633333333333, 9.51724137931035, 10.2466666666667
1994, 11.0366666666667, 10.4296296296296, 10.7034482758621, 11.051724137931, 11.5034482758621, 11.7896551724138, 9.99333333333333, 13.6821428571429, 11.7185185185185, 11.1518518518519, 11.2153846153846, 9.8037037037037
1995, 10.575, 11.0074074074074, 11.3133333333333, 11.6535714285714, 10.9862068965517, 10.9379310344828, 11.9827586206897, 11.6433333333333, 12.9275862068966, 12.5655172413793, 11.2724137931034, 12.3266666666667
1996, 11.6607142857143, 11.6214285714286, 11.2066666666667, 11.9413793103448, 11.7310344827586, 10.6448275862069, 10.2551724137931, 10.4413793103448, 11.9148148148148, 11.2133333333333, 11.2206896551724, 10.9
1997, 10.7586206896552, 10.7481481481481, 10.1103448275862, 10.6892857142857, 12.3166666666667, 13.2965517241379, 11.9466666666667, 12.9333333333333, 15.9291666666667, 12.81, 12.5793103448276, 12.6933333333333
1998, 12.2633333333333, 12.1925925925926, 11.79, 11.351724137931, 11.7533333333333, 11.0230769230769, 11.2366666666667, 11.0633333333333, 10.8241379310345, 12.0896551724138, 11.8413793103448, 10.54
1999, 9.54333333333333, 9.41111111111111, 9.73846153846154, 9.76551724137931, 10.5933333333333, 11.651724137931, 10.625, 12.4933333333333, 10.3758620689655, 10.0206896551724, 11.3206896551724, 10.8448275862069
2000, 10, 10.8321428571429, 10.6633333333333, 11.0448275862069, 12.4533333333333, 10.5655172413793, 11.1633333333333, 10.6966666666667, 11.148275862069, 10.96, 10.9551724137931, 10.8833333333333
2001, 10.5766666666667, 9.91111111111111, 10.0862068965517, 10.6862068965517, 10.4533333333333, 10.8965517241379, 10.5, 11.4266666666667, 10.648275862069, 10.1068965517241, 10.9862068965517, 10.53
2002, 10.0733333333333, 9.61851851851852, 9.35333333333333, 9.4, 10.0172413793103, 10.8965517241379, 10.4689655172414, 10.0814814814815, 10.3535714285714, 9.42, 11.4115384615385, 8.63478260869565
2003, 1.03, -1.54444444444444, 1.03793103448276, -5.03448275862069, -3.31, 1.93448275862069, 0.0666666666666667, -3.26551724137931, 4.82413793103448, 11.95, 11.2857142857143, 10.9896551724138
2004, 10.3, 10.5222222222222, 10.66, 11.0724137931034, 12.6, 11.9137931034483, 11.5666666666667, 12.5066666666667, 12.6, 11.2266666666667, 10.4103448275862, 9.85172413793103
2005, 10.2066666666667, 10.6666666666667, 11.3655172413793, 11.6379310344828, 12.9933333333333, 13.0035714285714, 11.0733333333333, 10.1076923076923, 10.3923076923077, 11.4714285714286, 11.262962962963, 10.7133333333333
2006, 11.4592592592593, 10.3346153846154, 9.90714285714286, 10.9, 10.7533333333333, 11.8068965517241, 10.6714285714286, 10.3535714285714, 10.3928571428571, 10.37, 11.4535714285714, 11
2007, 9.83333333333333, 9.83461538461538, 10.1551724137931, 10.5379310344828, 10.46, 11.0333333333333, 12.335, 12.03, 10.7655172413793, 11.9033333333333, 10.0724137931034, 9.57
2008, 8.91333333333333, 8.725, 9.26551724137931, 9.33214285714286, 10.0206896551724, 9.66206896551724, 10.1758620689655, 12.0733333333333, 10.5931034482759, 11.3433333333333, 11.5931034482759, 10.2090909090909
2009, 9.52222222222222, 9.1, 9.775, 9.55714285714286, 10.36, 11.65, 10.5923076923077, 11.7833333333333, 12.9586206896552, 11.1172413793103, 11.4428571428571, 9.6962962962963
2010, 10.748275862069, 11.064, 11.0185185185185, 11.0821428571429, 12.1, 12.0206896551724, 11.0222222222222, NA, NA, NA, NA, NA
2011, NA, NA, 9.89444444444445, 10.0928571428571, 10.72, 11.3689655172414, 10.85, 10.7566666666667, 11.3793103448276, 14.4888888888889, 10.3862068965517, 8.99666666666667
2012, 9.17333333333333, 9.44642857142857, 8.88076923076923, 10.651724137931, 10.7068965517241, 11.8310344827586, 11.21, 10.3785714285714, 10.1586206896552, 10.8333333333333, 12.2518518518519, 11.3233333333333
2013, 9.89333333333333, 9.31851851851852, 9.28333333333333, 9.89655172413793, 10.7, 11.5551724137931, 10.08, 11.0965517241379, 13.5206896551724, 11.01, 10.2827586206897, 8.56
2014, 9.03448275862069, 9.88148148148148, 10.7666666666667, 10.6214285714286, 12.28, 10.7206896551724, 10.8766666666667, 10.94, 12.1724137931034, 13.5310344827586, 13.9153846153846, 13.4571428571429
2015, 12.3, 12.1444444444444, 11.5933333333333, 11.3192307692308, 9.852, 9.71034482758621, 11.8689655172414, 12.1586206896552, 12.6758620689655, 12.5066666666667, 12.3862068965517, 11.8666666666667
2016, 10.9928571428571, 11.2428571428571, 11.81, 12.1206896551724, 10.6105263157895, NA, NA, NA, NA, NA, NA, NA
2017, NA, NA, 10.5791666666667, 10.9071428571429, 11.0233333333333, 11.7689655172414, 10.2033333333333, 10.97, 11.7103448275862, 11.2733333333333, 11.0965517241379, 10.8758620689655
2018, 10.9866666666667, 10.1444444444444, 9.66, 10.4413793103448, 10.8666666666667, 11.3448275862069, 10.2433333333333, 11.18, 11.3241379310345, 11.4206896551724, NA, NA
