"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1966,NA,NA,NA,NA,9.76666666666667,12.9826086956522,13.4666666666667,12.0230769230769,13.69,11.8827586206897,10.4952380952381,10.8391304347826
1967,9.96,10.3142857142857,10.2,11.1416666666667,12.0466666666667,12.575,12.7071428571429,12.6363636363636,13.7235294117647,13.252,11.8285714285714,9.545
1968,9.05652173913044,10.44375,11.4882352941176,11.2222222222222,12.1384615384615,13.5666666666667,12.86,NA,13.4625,11.86,NA,10.3
1969,9.14761904761905,8.925,9.95714285714286,11.36875,11.4809523809524,13.1333333333333,12.5619047619048,11.8777777777778,11.65,11.8695652173913,10.6941176470588,10.2333333333333
1970,10.2578947368421,10.4,10.9181818181818,10.1454545454545,10.8045454545455,11.5181818181818,11.8227272727273,11.36,10.78,9.795,11.4411764705882,9.79
1971,8.52105263157895,8.68333333333333,9.015,10.2631578947368,10.9352941176471,13.8523809523810,12.3523809523810,14.7,12.515,10.9894736842105,9.85,8.8
1972,8.26666666666667,9.01875,10.3944444444444,10.7888888888889,12.1210526315789,12.6863636363636,13.3111111111111,13.3222222222222,11.955,10.255,11.0588235294118,9.1578947368421
1973,9.4,10.3,10.5666666666667,11.5444444444444,12.2705882352941,13.045,11.88,11.7608695652174,12.30625,11.5272727272727,11.0578947368421,10.75
1974,9.22222222222222,9.25333333333333,9.56470588235294,10.55,11.2421052631579,10.8388888888889,12.8722222222222,12.4476190476190,12.3578947368421,10.3304347826087,10.6230769230769,10.65625
1975,9.43333333333333,9.03125,9.53529411764706,9.8,11.4411764705882,11.04,12.7928571428571,11.85,12.0722222222222,12.1045454545455,11.2352941176471,9.71904761904762
1976,8.97,8.38888888888889,9.05909090909091,9.63809523809524,10.7529411764706,11.4454545454545,12.9428571428571,13.0857142857143,11.4476190476190,10.8368421052632,11.955,9.33
1977,9.75714285714286,10.8611111111111,10.1136363636364,10.1166666666667,11.4789473684211,11.9,11.3789473684211,12.7478260869565,12.985,11.2526315789474,11.19,10.69
1978,11.3894736842105,11.325,11.7,11.1,10.8047619047619,12.805,11.9421052631579,12.0785714285714,14.2578947368421,11.6380952380952,9.46315789473684,8.755
1979,8.60526315789474,9.025,10.215,11.1,NA,11.2705882352941,13.5526315789474,14.08,14.8352941176471,12.5857142857143,12.6666666666667,11.6
1980,10.5578947368421,10.6388888888889,11.1157894736842,11.03,12.25625,12.9769230769231,12.6363636363636,11.1947368421053,11.765,11.9285714285714,12.1842105263158,11.3238095238095
1981,11.9263157894737,11.5785714285714,11.5809523809524,11.56,11.59375,13.4142857142857,11.5428571428571,13.3157894736842,13.38,12.5285714285714,12.2470588235294,11.48
1982,9.85555555555556,9.6076923076923,9.9,10.325,11.3368421052632,11.11875,12.8764705882353,12.35625,12.4666666666667,12.435,12.4823529411765,11.8111111111111
1983,11.23125,11.6235294117647,12.1727272727273,12.1125,12.50625,11.8875,14.7047619047619,NA,12.6894736842105,11.99,13.1529411764706,11.5944444444444
1984,10.7285714285714,10.4222222222222,11.11,10.9684210526316,12.1666666666667,11.085,11.4555555555556,12.565,12.5823529411765,12.7227272727273,11.5592592592593,10.5
1985,10,9.43461538461538,8.83076923076923,9.824,11.1111111111111,11.7555555555556,10.7090909090909,11.9,12.1428571428571,10.7571428571429,9.91666666666667,9.05652173913044
1986,10.05,10.7411764705882,11.6666666666667,10.4083333333333,11.6423076923077,12.4321428571429,11.6961538461538,10.6178571428571,11.3076923076923,10.8066666666667,11.22,10.7275862068966
1987,10.6478260869565,10.4608695652174,10.6037037037037,11.1,11.3235294117647,11.792,12.2464285714286,10.7933333333333,11.4,10.8296296296296,12.0423076923077,11.248
1988,9.88846153846154,9.97037037037037,10.225,10.3826086956522,11.4892857142857,12.5413793103448,11.208,10.6689655172414,11.0434782608696,12.1037037037037,12.1208333333333,10.525
1989,9.37037037037037,8.34782608695652,9.70357142857143,11.2304347826087,11.6777777777778,11.9277777777778,13.1388888888889,12.27,11.4125,11.7117647058824,11.23,10.2444444444444
1990,9.97142857142857,9.25555555555556,10.0809523809524,11.0166666666667,11.77,13.315,13.5571428571429,12.895,13.4722222222222,11.3,11.905,9.9578947368421
1991,8.84761904761905,9.98,9.97619047619048,10.6136363636364,10.5266666666667,11.455,11.4454545454545,11.8285714285714,12.2714285714286,10.7217391304348,10.8736842105263,9.86363636363636
1992,10.13,11.1368421052632,12.4954545454545,13.0136363636364,12.905,12.4818181818182,14.5045454545455,12.3571428571429,11.615,11.5,12.1571428571429,10.865
1993,9.32,10.2071428571429,11.6333333333333,11.9272727272727,13.6818181818182,14.4714285714286,12.8294117647059,13.2578947368421,11.7045454545455,11.7421052631579,9.84117647058824,10.0470588235294
1994,11.0947368421053,10.415,10.8888888888889,11.4615384615385,12.53,12.8611111111111,11.4666666666667,13.85,12.6952380952381,11.525,11.0210526315789,9.71904761904762
1995,10.6818181818182,11.225,11.4529411764706,11.885,12,12.0705882352941,13.01,12.9476190476190,13.8764705882353,12.5777777777778,11.5157894736842,12.1733333333333
1996,11.2409090909091,11.6529411764706,11.4619047619048,12.25,12.44,11.7555555555556,10.9125,11.1411764705882,12.56875,11.64,11.38,10.75
1997,10.6454545454545,10.7428571428571,10.2529411764706,11.12,13.2,13.9625,13.1,13.8555555555556,NA,NA,NA,NA
