#  OCN_Rivers.dat		
#  Last update 28 Nov 2018 by TCW, data from 2018 Preseason Report I		
#  Oregon Coho Natural recruits, Rivers (per thousand)		
#  Adults by return year (t), spawners with 3 year lag (t-3)		
YEAR	ADULTS	SPAWNERS
1970	183.1	204.7
1971	416.3	198.9
1972	185.5	129.2
1973	235	51.2
1974	196.4	65.6
1975	208.4	24.1
1976	451.7	37.8
1977	161.2	28.1
1978	111.6	34.8
1979	188.8	39.2
1980	108.3	13.7
1981	174.5	18.2
1982	185.7	38.4
1983	96	25.6
1984	94.7	30.1
1985	124.9	68.3
1986	114.3	19.4
1987	77.8	59.7
1988	152.5	66.3
1989	114.9	57.2
1990	63.3	25.3
1991	84.1	45.7
1992	107.6	40.7
1993	74.9	16.9
1994	41	30.4
1995	47.8	40.2
1996	64.5	45.2
1997	16.3	38.3
1998	22.4	42.8
1999	38.3	60.5
2000	58.7	14.8
2001	156.5	20.9
2002	246.1	36.4
2003	227.3	57.4
2004	164	152.9
2005	146.3	238.4
2006	113.1	211.9
2007	64.8	156.7
2008	157	139.4
2009	262.9	104.5
2010	255.6	57.3
2011	352.4	156.1
2012	98.1	245.4
2013	130.2	244.7
2014	377.4	336
2015	64.6	80.2
2016	74.4	110.8
2017	64.1	337.7
2018	NA	52.4
