"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6600591715976,10.3324287652646
1992,9.94174624829468,10.7671641791045,11.5492496589359,11.9265734265734,12.9408660351827,13.5875,13.8234100135318,13.3282051282051,12.048079658606,12.3343324250681,12.278045325779,10.8537087912088
1993,9.88686030428769,10.0793103448276,10.1532413793103,10.8368794326241,12.5199449793673,14.6436046511628,15.381043956044,14.1523272214386,12.2334801762115,11.9316804407714,10.4544668587896,10.0067961165049
1994,NA,NA,10.2210237659963,11.0530555555556,12.6631081081081,14.0442105263158,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,11.8435114503817,12.1091644204852,12.9151048951049,15.0933873144399,14.0883310719132,14.9418181818182,14.8141891891892,11.9953651685393,11.9977027027027
1996,11.5637602179837,10.8813583815029,10.9147297297297,11.3144986449865,12.4631292517007,13.5172560113154,12.1349700598802,11.5741347905282,NA,NA,NA,NA
1997,9.77878787878788,NA,NA,NA,NA,NA,NA,16.65,17.7491620111732,14.7696378830084,13.1922514619883,12.915521978022
1998,12.389972899729,NA,NA,12.7565217391304,12.5794979079498,13.4015873015873,15.0515561569689,13.9061776061776,13.3407407407407,13.0944818304172,12.6251748251748,10.8123641304348
1999,9.5645945945946,9.28224582701062,9.35830115830116,NA,NA,NA,NA,NA,NA,10.7266009852217,11.1045588235294,10.5049865229111
2000,9.64979367262723,9.95326560232221,9.88288043478261,10.603328290469,12.3153305203938,12.1916317991632,12.7521088435374,12.7246630727763,12.7875,11.5053278688525,10.7485314685315,10.1477088948787
2001,9.96864064602961,9.55663189269747,9.55236806495264,9.90782122905028,11.1413189771198,13.4991631799163,12.0623149394347,13.689972899729,12.4165266106443,11.6005449591281,11.2197755960729,NA
2002,9.615625,9.52056631892697,9.26895161290323,9.73710601719198,11.3012278308322,13.7587743732591,12.8718918918919,11.5690026954178,12.0142061281337,10.5259259259259,11.0156643356643,12.0238544474394
2003,11.1136118598383,10.6232835820896,10.54669365722,10.8281337047354,12.6689516129032,13.3140472878999,13.8540540540541,13.1154054054054,11.6349228611501,13.156796769852,11.7307371349096,11.1412955465587
2004,10.4597577388964,10.2096541786744,10.4557200538358,11.1023676880223,13.9955465587045,14.9474930362117,14.6489851150203,14.2133064516129,15.1198611111111,13.0856182795699,11.4603905160391,10.4287356321839
2005,NA,NA,NA,11.5205729166667,13.5083333333333,15.4037552155772,14.3947580645161,12.419623655914,12.095,12.700269541779,11.7556328233658,10.7365721997301
2006,11.4545698924731,10.3971726190476,10.1902834008097,11.0710084033613,11.9188933873144,13.9397774687065,12.722371967655,11.8807757166948,13.3868068833652,11.1062078272605,11.5088888888889,11.1508064516129
2007,9.69744279946164,9.56059701492537,10.0424694708277,10.5095104895105,11.4117567567568,14.0554469273743,16.1766216216216,14.6402422611036,13.0878491620112,12.2121293800539,11.1359440559441,10.0763636363636
2008,NA,NA,8.99130434782609,9.33272980501393,11.5297442799462,12.2833333333333,11.407972972973,14.7070175438596,11.9984679665738,12.9409459459459,12.3318881118881,10.6564917127072
2009,9.32611036339166,8.98965517241379,9.3436069986541,9.63755215577191,10.8747311827957,13.4534818941504,11.8810483870968,13.9702300405954,14.9126740947075,13.0448043184885,12.0761570827489,10.3390309555855
2010,10.8458503401361,10.9736131934033,10.8400809716599,11.0084840055633,11.9818548387097,13.4759388038943,12.5103494623656,12.6654939106901,13.9524339360223,13.0814516129032,12.0812849162011,10.7105405405405
2011,9.72718894009217,NA,NA,NA,NA,NA,14.7905691056911,12.5143817204301,12.1618055555556,14.466576819407,12.0058906030856,10.0010752688172
2012,9.17734056987788,9.16738505747126,8.74357239512855,10.0122562674095,11.3982384823848,14.2806944444444,15.2920698924731,12.9652759084791,12.3777777777778,11.5540983606557,12.1666199158485,11.3437669376694
2013,9.89689189189189,9.309375,9.16644204851752,10.1964936886396,11.7357624831309,14.1805865921788,11.7522849462366,13.131713900135,16.0397759103641,14.2494623655914,11.6052851182197,9.5364247311828
2014,8.88411843876178,9.21502976190476,10.2805929919137,10.9093055555556,13.4190860215054,13.5365277777778,12.8354838709677,11.7462365591398,15.6351388888889,15.8467741935484,13.7844228094576,NA
