##From http://www.cbr.washington.edu/data/trans_data.html locally updated since 2010, , , , 
Year,  OSCURS,  Logerwell et al.,  Peterson,  CBR Mean
2017,,116,,
2016,,85,,
2015,,92,,
2014,,101,,
2013, ,100, , 
2012, ,121, , 
2011, ,100, , 
2010,  ,100,177,99
2009,  ,82,65,67
2008,  ,89,64,36
2007,  ,74,81,71
2006,  ,112,180,108
2005,  ,145,230,106
2004,  ,110,146,89
2003,  ,112,156,105
2002,  ,80,108,81
2001,  ,61,79,64
2000,  ,72,97,78
1999,  ,91,134,88
1998,  ,105, Never,71
1997,  ,146,135,78
1996,  ,120,185,116
1995,  ,95,  ,100
1994,93.23,87,  ,82
1993,130.76,161,  ,116
1992,69.21,123,  ,64
1991,71.92,99,  ,62
1990,83.04,81,  ,76
1989,99.04,97,  ,94
1988,88.56,68,  ,85
1987,101.22,81,  ,72
1986,94.8,89,  ,86
1985,70.76,48,  ,45
1984,107.57,112,  ,109
1983,95.21,126, Never,91
1982,83.3,109,  ,104
1981,94.6,88,  ,83
1980,109.42,78,  ,76
1979,74.42,73,  ,65
1978,85.18,97,  ,66
1977,71.8,74,  ,70
1976,84.66,103,  ,100
1975,73.97,83,  ,80
1974,102.71,102,  ,98
1973,74.19,80,  ,64
1972,103.1,107,101,102
1971,102.27,106,79,103
1970,68.58,78,79,74
1969,78.03,117,  ,116
1968,90.66,  ,  ,84
1967,59.5,  ,  ,82
1966,88.51,  ,  ,  
1965,44.55,  ,  ,  
1964,41.99,  ,  ,  
1963,71.96,  ,  ,  
1962,51.33,  ,  ,  
1961,91.96,  ,  ,  
1960,141.84,  ,  ,  
1959,84.73,  ,  ,  
1958,99.23,  ,  ,  
1957,90.88,  ,  ,  
1956,82.69,  ,  ,  
1955,64.77,  ,  ,  
1954,64.54,  ,  ,  
1953,51.19,  ,  ,  
1952,69.06,  ,  ,  
1951,64.8,  ,  ,  
1950,109.91,  ,  ,  
1949,115.05,  ,  ,  
1948,139.7,  ,  ,  
1947,102.91,  ,  ,  
1946,106.51,  ,  ,  
