"YEAR"	"PDO_DJF"	"PDO_JFM"	"PDO_FMA"	"PDO_MAM"	"PDO_AMJ"	"PDO_MJJ"	"PDO_JJA"	"PDO_JAS"	"PDO_ASO"	"PDO_SON"	"PDO_OND"	"PDO_NDJ"	"PDO_D"	"PDO_J"	"ONI_DJF"	"ONI_JFM"	"ONI_FMA"	"ONI_MAM"	"ONI_AMJ"	"ONI_MJJ"	"ONI_JJA"	"ONI_JAS"	"ONI_ASO"	"ONI_SON"	"ONI_OND"	"ONI_NDJ"	"ONI_D"	"ONI_J"	"UWI_DJF"	"UWI_JFM"	"UWI_FMA"	"UWI_MAM"	"UWI_AMJ"	"UWI_MJJ"	"UWI_JJA"	"UWI_JAS"	"UWI_ASO"	"UWI_SON"	"UWI_OND"	"UWI_NDJ"	"UWI_D"	"UWI_J"	"SST_DJF"	"SST_JFM"	"SST_FMA"	"SST_MAM"	"SST_AMJ"	"SST_MJJ"	"SST_JJA"	"SST_JAS"	"SST_ASO"	"SST_SON"	"SST_OND"	"SST_NDJ"	"SST_D"	"SST_J"	"NPGO_DJF"	"NPGO_JFM"	"NPGO_FMA"	"NPGO_MAM"	"NPGO_AMJ"	"NPGO_MJJ"	"NPGO_JJA"	"NPGO_JAS"	"NPGO_ASO"	"NPGO_SON"	"NPGO_OND"	"NPGO_NDJ"	"NPGO_D"	"NPGO_J"	"SPR.TRN"
1950	-2.52	-2.057	-1.747	-1.52	-1.733	-2.31	-1.8	-1.923	-1.4	-1.987	-1.527	-1.587	-0.76	-1.54	-1.435	-1.343	-1.227	-1.137	-1.033	-0.82	-0.603	-0.45	-0.417	-0.477	-0.613	-0.74	-0.8	-0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.817	-1.533	-1.09	-0.819	-0.691	-0.652	-0.624	-0.631	-0.344	-0.246	-0.21	-0.41	-0.493	-0.479	NA
1951	-1.12	-1.5	-1.107	-0.837	-0.567	-0.213	-0.587	-0.25	-0.59	-0.227	-0.76	-1.323	-1.68	-2.01	-0.72	-0.51	-0.177	0.123	0.373	0.547	0.723	0.86	1.01	1.06	1	0.793	0.81	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.462	-0.487	-0.515	-0.734	-1.023	-1.204	-1.238	-1.233	-1.221	-1.167	-1.102	-1.191	-1.225	-1.335	NA
1952	-1.383	-1.033	-0.713	-0.893	-1.16	-1.227	-1.093	-0.913	-0.613	-0.667	-0.357	-0.43	0.04	-0.57	0.57	0.413	0.333	0.277	0.163	0.04	-0.027	0.023	0.083	0.097	0.097	0.197	0.15	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.217	-1.032	-0.731	-0.577	-0.678	-0.978	-1.069	-0.939	-0.579	-0.386	0.09	0.491	0.845	0.944	NA
1953	-0.2	-0.587	-0.38	-0.213	0.257	0.487	0.36	0.053	-0.557	-0.583	-0.35	-0.427	0.07	-1.32	0.383	0.543	0.63	0.68	0.727	0.757	0.75	0.753	0.783	0.82	0.83	0.803	0.81	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.846	0.97	1.072	1.246	1.193	1.123	0.905	0.65	0.664	1.141	1.517	1.521	1.419	1.094	NA
1954	-0.953	-1.15	-1.153	-0.613	-0.117	0.47	0.493	-0.143	-0.113	0.1	0.247	0.14	-0.5	0.2	0.68	0.393	0.003	-0.333	-0.483	-0.56	-0.66	-0.793	-0.837	-0.8	-0.72	-0.69	-0.66	-0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.223	0.777	0.288	-0.152	-0.119	-0.007	0.004	-0.143	-0.07	0.092	0.314	0.362	0.404	0.326	NA
1955	-0.607	-0.86	-1.583	-1.48	-1.873	-2	-2.347	-2.183	-2.333	-2.61	-2.877	-2.77	-2.75	-2.48	-0.653	-0.663	-0.703	-0.76	-0.77	-0.73	-0.717	-0.84	-1.087	-1.393	-1.52	-1.417	-1.47	-1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16	-0.046	-0.142	0.029	0.095	0.052	0.057	0.025	-0.12	-0.238	-0.374	-0.159	-0.518	0.12	NA
1956	-2.657	-2.593	-2.49	-2.047	-1.76	-1.38	-1.297	-0.967	-1.39	-1.707	-1.897	-1.737	-1.28	-1.82	-1.113	-0.833	-0.643	-0.563	-0.523	-0.533	-0.543	-0.527	-0.477	-0.437	-0.427	-0.37	-0.43	-0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.179	0.002	-0.051	0.042	0.192	0.359	0.492	0.435	0.263	0.008	-0.348	-0.755	-0.767	-1.272	NA
1957	-1.26	-0.823	-0.41	0.007	0.583	1.017	0.997	0.94	1.2	0.923	0.21	-0.207	-0.55	0.25	-0.207	0.073	0.397	0.683	0.917	1.093	1.227	1.3	1.347	1.417	1.553	1.693	1.74	1.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.333	-1.523	-1.518	-1.211	-1.154	-0.987	-0.943	-0.861	-0.952	-1.119	-1.051	-0.669	-0.717	0.117	NA
1958	0.107	0.373	0.643	0.863	1.223	1.167	1.093	0.747	0.453	0.04	0.23	0.457	0.86	0.69	1.737	1.58	1.287	0.98	0.77	0.65	0.547	0.463	0.42	0.443	0.517	0.573	0.61	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.151	-0.296	-0.575	-0.907	-0.765	-0.815	-0.741	-0.568	-0.447	-0.496	-0.563	-0.352	-0.405	0.123	NA
1959	0.373	-0.23	-0.467	-0.247	0.217	0.057	-0.227	-0.657	-0.317	0.26	0.563	0.49	0.06	0.3	0.613	0.583	0.49	0.35	0.153	-0.017	-0.177	-0.183	-0.133	-0.023	-0.007	-0.03	-0.04	-0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.291	-0.287	-0.478	-0.427	-0.421	-0.403	-0.425	-0.276	-0.099	0.053	0.17	0.464	0.423	1.016	NA
